SampleTimeFine;Euler_X;Euler_Y;Euler_Z
176;0,2812;-0,0845;0,9076
177;0,2833;-0,0824;0,9066
178;0,2840;-0,0844;0,9080
179;0,2854;-0,0835;0,9074
180;0,2860;-0,0822;0,9062
181;0,2852;-0,0823;0,9077
182;0,2868;-0,0823;0,9052
183;0,2871;-0,0840;0,9059
184;0,2869;-0,0838;0,9063
185;0,2876;-0,0846;0,9070
186;0,2859;-0,0856;0,9068
187;0,2841;-0,0835;0,9076
188;0,2829;-0,0869;0,9075
189;0,2825;-0,0859;0,9086
190;0,2831;-0,0876;0,9090
191;0,2818;-0,0879;0,9103
192;0,2830;-0,0882;0,9117
193;0,2838;-0,0882;0,9105
194;0,2843;-0,0872;0,9100
195;0,2870;-0,0861;0,9105
196;0,2869;-0,0842;0,9111
197;0,2850;-0,0839;0,9122
198;0,2821;-0,0823;0,9133
199;0,2821;-0,0815;0,9112
200;0,2828;-0,0809;0,9105
201;0,2816;-0,0796;0,9110
202;0,2813;-0,0792;0,9092
203;0,2810;-0,0787;0,9087
204;0,2806;-0,0796;0,9105
205;0,2799;-0,0796;0,9107
206;0,2794;-0,0777;0,9093
207;0,2796;-0,0783;0,9099
208;0,2795;-0,0788;0,9096
209;0,2791;-0,0801;0,9088
210;0,2797;-0,0794;0,9092
211;0,2810;-0,0797;0,9101
212;0,2808;-0,0797;0,9108
213;0,2799;-0,0789;0,9104
214;0,2812;-0,0794;0,9114
215;0,2814;-0,0809;0,9142
216;0,2820;-0,0829;0,9148
217;0,2801;-0,0831;0,9159
218;0,2784;-0,0827;0,9160
219;0,2784;-0,0806;0,9164
220;0,2793;-0,0817;0,9175
