SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
354713,2.5325,3.6503,-0.2118,0.0269,0.0061,0.1232,0
354880,2.5276,3.6878,-0.3669,0.0699,-0.0431,0.1253,0
355046,2.5229,3.7432,-0.5028,0.0846,-0.0430,0.1117,0
355213,2.5070,3.7825,-0.5868,-0.1180,0.0065,0.2320,0
355380,2.4903,3.7689,-0.6206,0.0206,0.0350,0.1859,0
355546,2.4674,3.7531,-0.6530,0.0644,0.0003,0.0944,0
355713,2.4706,3.7393,-0.6325,0.1294,-0.0669,0.0079,0
355880,2.4821,3.7442,-0.6132,-0.0153,-0.0192,0.1427,0
356046,2.4777,3.7405,-0.6130,-0.0771,0.0059,0.1575,0
356213,2.4652,3.7341,-0.5960,-0.0412,-0.0151,0.1079,0
356380,2.4640,3.7352,-0.6191,0.0667,-0.0475,0.0283,0
356546,2.4774,3.7493,-0.6187,-0.0867,-0.0809,0.0961,0
356713,2.4806,3.7735,-0.6590,0.1330,0.1164,0.1205,0
356880,2.4695,3.7993,-0.7010,-0.1165,0.1126,0.2029,0
357046,2.4530,3.7911,-0.7037,-0.0061,0.0865,0.1692,0
357213,2.4398,3.7660,-0.6805,0.0042,-0.0549,0.0595,0
357380,2.4475,3.7421,-0.5908,0.1619,-0.1170,-0.0138,0
357546,2.4688,3.7304,-0.5382,-0.0374,-0.0403,0.0948,0
357713,2.4863,3.7258,-0.5304,0.1266,0.1214,0.1177,0
357880,2.4838,3.7478,-0.5678,0.0763,0.0530,0.1705,0
358046,2.4840,3.7412,-0.5418,-0.0680,-0.0316,0.1563,0
358213,2.4963,3.7395,-0.5316,0.1585,0.0088,0.0613,0
358380,2.4977,3.7434,-0.5307,-0.0308,0.0232,0.1738,0
358546,2.4987,3.7444,-0.5100,0.0902,0.0960,0.1225,0
358713,2.4933,3.7595,-0.5332,-0.0177,0.0687,0.1798,0
358880,2.4843,3.7735,-0.5717,0.0531,0.0192,0.1663,0
359046,2.4723,3.7781,-0.5625,-0.0561,-0.0155,0.1674,0
359213,2.4611,3.7608,-0.5290,-0.0624,-0.0980,0.0910,0
359380,2.4559,3.7375,-0.5107,0.0821,-0.0081,0.0578,0
359546,2.4548,3.7506,-0.5211,0.0660,-0.0021,0.0554,0
359713,2.4566,3.7869,-0.6033,0.0201,0.0194,0.0658,0
359880,2.4455,3.8333,-0.7012,-0.0311,0.0365,0.1248,0
360046,2.4351,3.8410,-0.7636,-0.1389,-0.0137,0.1367,0
360213,2.4371,3.8198,-0.7511,-0.0473,-0.0840,0.0888,0
360380,2.4592,3.7695,-0.6683,-0.0178,0.0024,0.1218,0
360546,2.4709,3.7348,-0.6068,0.0896,0.0449,0.0907,0
360713,2.4703,3.7470,-0.6432,0.2208,-0.0021,0.0238,0
360880,2.4643,3.7861,-0.7144,0.0943,0.0475,0.1038,0
361046,2.4685,3.8221,-0.7561,0.1103,-0.0371,0.0815,0
361213,2.4968,3.8077,-0.6773,0.0084,-0.0328,0.1409,0
361380,2.5085,3.8010,-0.6214,0.1096,0.0732,0.1457,0
361546,2.5223,3.8035,-0.6093,-0.0527,0.0638,0.1307,0
361713,2.5235,3.8271,-0.6286,0.0315,0.1230,0.2230,0
361880,2.5192,3.8227,-0.5994,-0.1434,0.0172,0.1516,0
362046,2.5108,3.8097,-0.5708,-0.0239,0.0843,0.1757,0
362213,2.4876,3.7981,-0.5872,-0.0327,-0.0147,0.1231,0
362380,2.4925,3.7888,-0.5369,0.1275,-0.0522,0.0330,0
362546,2.5065,3.7988,-0.5202,0.0157,0.0234,0.1583,0
362713,2.5016,3.8170,-0.5432,-0.0267,-0.0011,0.1960,0
362880,2.5018,3.8028,-0.5284,-0.0478,-0.0899,0.1680,0
363046,2.5192,3.7646,-0.4725,-0.0493,-0.1089,0.0853,0
363213,2.5441,3.7207,-0.3787,0.0752,0.0051,0.1194,0
363380,2.5586,3.6929,-0.3071,0.0212,0.0303,0.1160,0
363546,2.5709,3.6748,-0.2721,0.1531,0.0876,0.0956,0
363713,2.5717,3.6913,-0.2784,0.1373,0.0466,0.0868,0
363880,2.5592,3.7100,-0.2939,-0.1629,0.0140,0.1781,0
364046,2.5543,3.7002,-0.3299,-0.0545,-0.0828,0.1077,0
364213,2.5682,3.6796,-0.2802,0.0012,0.0333,0.1285,0
364380,2.5924,3.6636,-0.2306,-0.0161,0.0107,0.1325,0
364546,2.5952,3.6463,-0.2109,-0.0083,0.1117,0.2169,0
364713,2.5713,3.6632,-0.2373,0.0818,0.0532,0.0961,0
364880,2.5577,3.6860,-0.2557,0.0279,0.0041,0.0808,0
365046,2.5550,3.6879,-0.2111,0.0486,0.0269,0.0861,0
365213,2.5493,3.6830,-0.1980,-0.0376,0.0832,0.1400,0
365380,2.5433,3.6839,-0.1813,0.0717,0.0248,0.0519,0
365546,2.5404,3.6924,-0.2088,0.0522,-0.0033,0.1006,0
365713,2.5396,3.6745,-0.1652,-0.1090,-0.0704,0.1102,0
