DeviceTag: Xsens,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Orientation (Quaternion),StartTime: 2024-04-09 13:18:27.056,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
147980,0.4927,-0.1887,-0.3882,-0.7556
148147,0.4926,-0.1890,-0.3889,-0.7552
